Source title,PubYear,Publisher,DOI
Journal of Analytical and Applied Pyrolysis,2019,Elsevier,2
Journal of Animal Breeding and Genetics,2019,Wiley,2
Cold Regions Science and Technology,2017,Elsevier,2
International Journal of Plasticity,2017,Elsevier,2
International Journal of Production Economics,2018,Elsevier,2
Angewandte Chemie,2019,Wiley,2
Advanced Biology,2023,Wiley,2
Advanced Engineering Materials,2023,Wiley,2
Advanced Functional Materials,2018,Wiley,2
Advanced Functional Materials,2019,Wiley,2
Advanced Functional Materials,2020,Wiley,2
The Journal of Physical Chemistry C,2022,American Chemical Society (ACS),2
The Journal of Physical Chemistry Letters,2018,American Chemical Society (ACS),2
The Journal of Physical Chemistry Letters,2019,American Chemical Society (ACS),2
Angewandte Chemie,2022,Wiley,2
Angewandte Chemie,2023,Wiley,2
Angewandte Chemie International Edition,2019,Wiley,2
Composite Structures,2018,Elsevier,2
Composites Part B Engineering,2021,Elsevier,2
Angewandte Chemie International Edition,2022,Wiley,2
Angewandte Chemie International Edition,2023,Wiley,2
Animal,2016,Elsevier,2
Animal,2017,Elsevier,2
Animal,2018,Elsevier,2
Analytical Methods,2020,Royal Society of Chemistry (RSC),2
Analytical and Bioanalytical Chemistry,2017,Springer Nature,2
Analytical and Bioanalytical Chemistry,2019,Springer Nature,2
Analytical and Bioanalytical Chemistry,2021,Springer Nature,2
Computational Particle Mechanics,2020,Springer Nature,2
International Journal of Metalcasting,2021,Springer Nature,2
International Journal of Molecular Sciences,2021,MDPI,2
International Journal of Molecular Sciences,2023,MDPI,2
International Journal of Multiphase Flow,2016,Elsevier,2
International Journal of Multiphase Flow,2018,Elsevier,2
International Journal of Pavement Research and Technology,2018,Airiti Press,2
Integration,2017,Elsevier,2
Intermetallics,2017,Elsevier,2
International Journal for Numerical Methods in Engineering,2019,Wiley,2
International Journal for Parasitology Drugs and Drug Resistance,2016,Elsevier,2
International Journal of Biological Macromolecules,2019,Elsevier,2
International Journal of Climatology,2018,Wiley,2
International Journal of Control,2017,Taylor & Francis,2
Computer Aided Geometric Design,2016,Elsevier,2
Computer Methods in Applied Mechanics and Engineering,2017,Elsevier,2
Computer Methods in Applied Mechanics and Engineering,2023,Elsevier,2
Computer-Aided Civil and Infrastructure Engineering,2022,Wiley,2
International Journal of Heat and Fluid Flow,2019,Elsevier,2
International Journal of Heat and Mass Transfer,2018,Elsevier,2
Computational Materials Science,2016,Elsevier,2
Computational Materials Science,2020,Elsevier,2
Computational Materials Science,2021,Elsevier,2
Inorganic Chemistry,2016,American Chemical Society (ACS),2
Inorganic Chemistry,2020,American Chemical Society (ACS),2
Proceedings of the Human Factors and Ergonomics Society Annual Meeting,2023,SAGE Publications,2
Proceedings of the Royal Society B,2022,The Royal Society,2
Analyst,2018,Royal Society of Chemistry (RSC),2
Analytica Chimica Acta,2019,Elsevier,2
Analytica Chimica Acta,2020,Elsevier,2
Analytica Chimica Acta,2021,Elsevier,2
Analytical Chemistry,2020,American Chemical Society (ACS),2
Computers & Fluids,2016,Elsevier,2
Computers and Electronics in Agriculture,2016,Elsevier,2
Computers and Electronics in Agriculture,2020,Elsevier,2
Computers and Electronics in Agriculture,2023,Elsevier,2
Insects,2019,MDPI,2
Insects,2020,MDPI,2
Integrating Materials and Manufacturing Innovation,2022,Springer Nature,2
IET Cyber-Physical Systems Theory & Applications,2017,Institution of Engineering and Technology (IET),2
IFAC-PapersOnLine,2016,Elsevier,2
Proteins Structure Function and Bioinformatics,2021,Wiley,2
Proteomics,2018,Wiley,2
Advanced Materials,2017,Wiley,2
Advanced Optical Materials,2018,Wiley,2
The Journal of Physical Chemistry A,2020,American Chemical Society (ACS),2
The Journal of Physical Chemistry A,2023,American Chemical Society (ACS),2
The Journal of Physical Chemistry B,2016,American Chemical Society (ACS),2
RSC Advances,2020,Royal Society of Chemistry (RSC),2
Radiation Physics and Chemistry,2016,Elsevier,2
Industrial & Engineering Chemistry Research,2019,American Chemical Society (ACS),2
Computers and Geotechnics,2019,Elsevier,2
Construction and Building Materials,2016,Elsevier,2
Construction and Building Materials,2022,Elsevier,2
Industrial Crops and Products,2018,Elsevier,2
ACS Nano,2021,American Chemical Society (ACS),2
ACS Nano,2022,American Chemical Society (ACS),2
ACS Omega,2019,American Chemical Society (ACS),2
ACS Omega,2022,American Chemical Society (ACS),2
ACS Omega,2023,American Chemical Society (ACS),2
ACS Photonics,2016,American Chemical Society (ACS),2
Veterinary Microbiology,2016,Elsevier,2
Veterinary Ophthalmology,2020,Wiley,2
IEEE Transactions on Signal Processing,2019,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Smart Grid,2016,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Smart Grid,2022,Institute of Electrical and Electronics Engineers (IEEE),2
Corrosion Science,2016,Elsevier,2
Crop Science,2021,Wiley,2
Crop Science,2023,Wiley,2
IEEE/ACM Transactions on Computational Biology and Bioinformatics,2017,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE/ACM Transactions on Networking,2020,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Magnetics,2020,Institute of Electrical and Electronics Engineers (IEEE),2
Crops,2022,MDPI,2
Remote Sensing of Environment,2019,Elsevier,2
Remote Sensing of Environment,2022,Elsevier,2
Remote Sensing of Environment,2023,Elsevier,2
American Journal of Agricultural Economics,2022,Wiley,2
American Journal of Preventive Medicine,2017,Elsevier,2
Renewable Energy,2017,Elsevier,2
Renewable Energy,2019,Elsevier,2
Renewable Energy,2020,Elsevier,2
Renewable and Sustainable Energy Reviews,2021,Elsevier,2
Resilient Cities and Structures,2022,Elsevier,2
Review of Scientific Instruments,2018,AIP Publishing,2
Review of Scientific Instruments,2019,AIP Publishing,2
Road Materials and Pavement Design,2021,Taylor & Francis,2
Crystals,2022,MDPI,2
IEEE Sensors Journal,2023,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Automation Science and Engineering,2016,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Circuits and Systems I Regular Papers,2017,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Control of Network Systems,2018,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Electron Devices,2021,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Information Forensics and Security,2016,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Information Theory,2016,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Information Theory,2017,Institute of Electrical and Electronics Engineers (IEEE),2
Current Biology,2018,Elsevier,2
Current Opinion in Chemical Engineering,2021,Elsevier,2
Current Opinion in Food Science,2017,Elsevier,2
IEEE Transactions on Information Theory,2018,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Information Theory,2022,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Instrumentation and Measurement,2017,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Instrumentation and Measurement,2023,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Transactions on Knowledge and Data Engineering,2020,Institute of Electrical and Electronics Engineers (IEEE),2
Rural Sociology,2019,Wiley,2
Rural Sociology,2023,Wiley,2
SN Applied Sciences,2020,Springer Nature,2
Algebra universalis,2020,Springer Nature,2
American Journal of Agricultural Economics,2016,Wiley,2
Agronomy Journal,2023,Wiley,2
Agrosystems Geosciences & Environment,2023,Wiley,2
Scripta Materialia,2017,Elsevier,2
Scripta Materialia,2018,Elsevier,2
The Astrophysical Journal Letters,2022,American Astronomical Society,2
Current Opinion in Insect Science,2017,Elsevier,2
Current Opinion in Microbiology,2021,Elsevier,2
Current Opinion in Plant Biology,2022,Elsevier,2
Current Plant Biology,2017,Elsevier,2
IEEE Sensors Journal,2017,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Sensors Journal,2020,Institute of Electrical and Electronics Engineers (IEEE),2
Genetics Selection Evolution,2018,Springer Nature,2
Genome Biology,2017,Springer Nature,2
Genome Biology,2019,Springer Nature,2
Genome Biology and Evolution,2019,Oxford University Press (OUP),2
Geophysical Research Letters,2020,American Geophysical Union (AGU),2
Global Biogeochemical Cycles,2021,American Geophysical Union (AGU),2
Cytogenetic and Genome Research,2019,Karger Publishers,2
Dalton Transactions,2018,Royal Society of Chemistry (RSC),2
Data,2020,MDPI,2
Data Science for Transportation,2019,Springer Nature,2
Data Science for Transportation,2020,Springer Nature,2
Heliyon,2023,Elsevier,2
Hydrobiologia,2018,Springer Nature,2
IEEE Access,2021,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Access,2022,Institute of Electrical and Electronics Engineers (IEEE),2
IEEE Control Systems Letters,2023,Institute of Electrical and Electronics Engineers (IEEE),2
The Engineering Economist,2022,Taylor & Francis,2
Advanced Science,2021,Wiley,2
Aerospace Science and Technology,2020,Elsevier,2
Aerospace Science and Technology,2021,Elsevier,2
Aerospace Science and Technology,2022,Elsevier,2
The Journal of Organic Chemistry,2017,American Chemical Society (ACS),2
The Journal of Organic Chemistry,2018,American Chemical Society (ACS),2
The Journal of Organic Chemistry,2020,American Chemical Society (ACS),2
Semiconductor Science and Technology,2021,IOP Publishing,2
Sensors,2022,MDPI,2
Sensors and Actuators A Physical,2019,Elsevier,2
Genetics,2021,Oxford University Press (OUP),2
Database,2019,Oxford University Press (OUP),2
Database,2023,Oxford University Press (OUP),2
Development,2023,The Company of Biologists,2
Developmental Psychobiology,2020,Wiley,2
Waste Management,2023,Elsevier,2
Water,2017,MDPI,2
Water,2020,MDPI,2
ACS Macro Letters,2020,American Chemical Society (ACS),2
Water Research,2020,Elsevier,2
"Water, Air, & Soil Pollution",2018,Springer Nature,2
Wear,2017,Elsevier,2
"G3: Genes, Genomes, Genetics",2023,Oxford University Press (OUP),2
GCB Bioenergy,2017,Wiley,2
GCB Bioenergy,2021,Wiley,2
Discrete Applied Mathematics,2016,Elsevier,2
Discrete Applied Mathematics,2020,Elsevier,2
Discrete Mathematics,2019,Elsevier,2
Genes,2021,MDPI,2
Genes,2022,MDPI,2
Genetics,2017,Oxford University Press (OUP),2
Frontiers in Veterinary Science,2019,Frontiers,2
Sensors and Actuators A Physical,2022,Elsevier,2
Sensors and Actuators B Chemical,2019,Elsevier,2
Separations,2018,MDPI,2
Agronomy,2020,MDPI,2
Agronomy,2022,MDPI,2
Soil Biology and Biochemistry,2019,Elsevier,2
Soil and Tillage Research,2016,Elsevier,2
Solid State Nuclear Magnetic Resonance,2017,Elsevier,2
Veterinary Pathology,2020,SAGE Publications,2
Veterinary Pathology,2021,SAGE Publications,2
Veterinary and Comparative Oncology,2020,Wiley,2
Virology,2021,Elsevier,2
Virtual Reality,2016,Springer Nature,2
Viruses,2016,MDPI,2
Waste Management,2022,Elsevier,2
Frontiers in Microbiology,2017,Frontiers,2
Frontiers in Microbiology,2019,Frontiers,2
Frontiers in Molecular Biosciences,2022,Frontiers,2
Frontiers in Molecular Neuroscience,2017,Frontiers,2
Frontiers in Molecular Neuroscience,2023,Frontiers,2
Frontiers in Neuroscience,2019,Frontiers,2
Frontiers in Neuroscience,2022,Frontiers,2
Earth System Science Data,2022,Copernicus Publications,2
Earth's Future,2019,American Geophysical Union (AGU),2
Ecological Applications,2020,Wiley,2
Discrete Mathematics,2022,Elsevier,2
Discrete and Continuous Dynamical Systems,2021,American Institute of Mathematical Sciences (AIMS),2
Disease Models & Mechanisms,2018,The Company of Biologists,2
Earth Surface Processes and Landforms,2017,Wiley,2
Frontiers in Sustainable Food Systems,2019,Frontiers,2
Frontiers in Sustainable Food Systems,2023,Frontiers,2
Structural Control and Health Monitoring,2018,Hindawi,2
Structural and Multidisciplinary Optimization,2022,Springer Nature,2
Agricultural and Forest Meteorology,2017,Elsevier,2
Agriculture Ecosystems & Environment,2016,Elsevier,2
Structure,2017,Elsevier,2
Surface Science,2023,Elsevier,2
Sustainability,2017,MDPI,2
Sustainable Cities and Society,2018,Elsevier,2
Symmetry,2019,MDPI,2
Talanta,2018,Elsevier,2
Talanta,2019,Elsevier,2
Ecology and Evolution,2016,Wiley,2
Ecology and Evolution,2019,Wiley,2
Frontiers in Immunology,2017,Frontiers,2
Frontiers in Immunology,2023,Frontiers,2
Frontiers in Microbiology,2016,Frontiers,2
Frontiers in Bioengineering and Biotechnology,2019,Frontiers,2
Frontiers in Cellular Neuroscience,2022,Frontiers,2
Frontiers in Earth Science,2021,Frontiers,2
Ecosphere,2017,Wiley,2
Ecosphere,2022,Wiley,2
Weed Science,2023,Cambridge University Press (CUP),2
Wetlands,2016,Springer Nature,2
Wildlife Society Bulletin,2017,Wiley,2
Wildlife Society Bulletin,2022,Wiley,2
Wind Energy,2017,Wiley,2
ACS Chemical Biology,2017,American Chemical Society (ACS),2
Zeitschrift für anorganische und allgemeine Chemie,2020,Wiley,2
Frontiers in Genetics,2023,Frontiers,2
Ecological Modelling,2020,Elsevier,2
Ecology,2020,Wiley,2
Structural Concrete,2022,Wiley,2
Food and Bioproducts Processing,2017,Elsevier,2
Foodborne Pathogens and Disease,2018,Mary Ann Liebert,2
Foods,2020,MDPI,2
Foods,2022,MDPI,2
Forensic Science International,2019,Elsevier,2
Electrochimica Acta,2017,Elsevier,2
Emerging Infectious Diseases,2016,Centers for Disease Control and Prevention (CDC),2
Energies,2016,MDPI,2
Energies,2019,MDPI,2
Energies,2020,MDPI,2
Forensic Science International,2023,Elsevier,2
Forests,2018,MDPI,2
Frontiers in Aging Neuroscience,2021,Frontiers,2
Frontiers in Animal Science,2021,Frontiers,2
Frontiers in Animal Science,2022,Frontiers,2
Frontiers in Animal Science,2023,Frontiers,2
European Journal of Agronomy,2018,Elsevier,2
mBio,2022,American Society for Microbiology,2
ACS Applied Energy Materials,2021,American Chemical Society (ACS),2
Energy Storage Materials,2022,Elsevier,2
Engineering Applications of Artificial Intelligence,2021,Elsevier,2
FEMS Microbiology Ecology,2018,Oxford University Press (OUP),2
Few-Body Systems,2017,Springer Nature,2
Field Crops Research,2016,Elsevier,2
Field Crops Research,2018,Elsevier,2
Field Crops Research,2021,Elsevier,2
Field Crops Research,2022,Elsevier,2
Fisheries Management and Ecology,2020,Wiley,2
Food Chemistry,2016,Elsevier,2
Food Control,2016,Elsevier,2
Food Control,2019,Elsevier,2
Energy & Fuels,2016,American Chemical Society (ACS),2
Molecular Ecology,2016,Wiley,2
Molecular Ecology,2017,Wiley,2
Molecular Microbiology,2016,Wiley,2
Molecular Pharmaceutics,2019,American Chemical Society (ACS),2
Molecular Physics,2017,Taylor & Francis,2
Molecular Physics,2020,Taylor & Francis,2
Molecular Plant,2019,Elsevier,2
Molecular Plant Pathology,2016,Wiley,2
Molecular Reproduction and Development,2023,Wiley,2
Molecular Systems Design & Engineering,2022,Royal Society of Chemistry (RSC),2
Molecules,2019,MDPI,2
ACS Applied Energy Materials,2022,American Chemical Society (ACS),2
mSystems,2021,American Society for Microbiology,2
Environmental Progress & Sustainable Energy,2016,Wiley,2
Environmental Science and Technology,2023,American Chemical Society (ACS),2
Environmental Toxicology and Chemistry,2016,Wiley,2
mSphere,2017,American Society for Microbiology,1
2D Materials,2020,IOP Publishing,1
2D Materials,2022,IOP Publishing,1
ACM Transactions on Computation Theory,2021,Association for Computing Machinery (ACM),1
ACM Transactions on Database Systems,2023,Association for Computing Machinery (ACM),1
ACM Transactions on Multimedia Computing Communications and Applications,2023,Association for Computing Machinery (ACM),1
ACM Transactions on Privacy and Security,2023,Association for Computing Machinery (ACM),1
ACM Transactions on Spatial Algorithms and Systems,2023,Association for Computing Machinery (ACM),1
ACM Transactions on Storage,2023,Association for Computing Machinery (ACM),1
eLife,2018,eLife,1
aBIOTECH,2023,Springer Nature,1
Zoological Journal of the Linnean Society,2023,Oxford University Press (OUP),1
Zeitschrift für anorganische und allgemeine Chemie,2023,Wiley,1
Zeitschrift für anorganische und allgemeine Chemie,2021,Wiley,1
Zeitschrift für anorganische und allgemeine Chemie,2018,Wiley,1
Zeitschrift für Kristallographie - Crystalline Materials,2017,De Gruyter,1
Zebrafish,2022,Mary Ann Liebert,1
Zebrafish,2017,Mary Ann Liebert,1
Xenotransplantation,2018,Wiley,1
World Mycotoxin Journal,2019,Brill Academic Publishers,1
World Development,2021,Elsevier,1
Wind Engineering,2019,SAGE Publications,1
Wind Energy,2019,Wiley,1
ACS Chemical Neuroscience,2020,American Chemical Society (ACS),1
ACS Chemical Biology,2019,American Chemical Society (ACS),1
Environmental Research Letters,2017,IOP Publishing,1
Environmental Processes,2020,Springer Nature,1
Environmental Pollution,2019,Elsevier,1
Environmental Monitoring and Assessment,2022,Springer Nature,1
Environmental Modelling & Software,2022,Elsevier,1
Environmental Management,2019,Springer Nature,1
Environmental Management,2017,Springer Nature,1
Environmental Health Perspectives,2021,Environmental Health Perspectives,1
Environmental Fluid Mechanics,2022,Springer Nature,1
Environmental Communication,2022,Taylor & Francis,1
Environmental Communication,2020,Taylor & Francis,1
Entropy,2023,MDPI,1
Entropy,2017,MDPI,1
Entomologia Experimentalis et Applicata,2018,Wiley,1
English for Specific Purposes,2019,Elsevier,1
Engineering in Life Sciences,2019,Wiley,1
Environmental and Resource Economics,2019,Springer Nature,1
Environmental and Experimental Botany,2019,Elsevier,1
Environmental and Experimental Botany,2018,Elsevier,1
Environmental Toxicology and Chemistry,2021,Wiley,1
Environmental Toxicology and Chemistry,2020,Wiley,1
Environmental Science and Technology,2021,American Chemical Society (ACS),1
Environmental Science and Technology,2019,American Chemical Society (ACS),1
Environmental Science and Technology,2017,American Chemical Society (ACS),1
Environmental Science and Pollution Research,2016,Springer Nature,1
Environmental Science Nano,2022,Royal Society of Chemistry (RSC),1
Environmental Research Letters,2023,IOP Publishing,1
Environmental Research Letters,2022,IOP Publishing,1
Environmental Research Letters,2021,IOP Publishing,1
Environmental Research Letters,2020,IOP Publishing,1
Environmental Research Letters,2019,IOP Publishing,1
Environmental Research Letters,2018,IOP Publishing,1
European Journal of Lipid Science and Technology,2016,Wiley,1
European Journal of Inorganic Chemistry,2016,Wiley,1
European Journal of Combinatorics,2023,Elsevier,1
European Journal of Combinatorics,2022,Elsevier,1
European Journal of Combinatorics,2021,Elsevier,1
European Journal of Combinatorics,2017,Elsevier,1
European Journal of Combinatorics,2016,Elsevier,1
European Journal of Cell Biology,2022,Elsevier,1
European Journal of Agronomy,2019,Elsevier,1
European Biophysics Journal,2017,Springer Nature,1
Ethnicities,2022,SAGE Publications,1
Epilepsy & Behavior,2023,Elsevier,1
Epilepsia Open,2023,Wiley,1
Epigenetics & Chromatin,2019,Springer Nature,1
Epigenetics & Chromatin,2017,Springer Nature,1
Environmetrics,2017,Wiley,1
Evolutionary Bioinformatics,2020,SAGE Publications,1
Evolutionary Bioinformatics,2017,SAGE Publications,1
Evolutionary Applications,2022,Wiley,1
Evolution & Development,2022,Wiley,1
Evolution & Development,2020,Wiley,1
Evolution & Development,2019,Wiley,1
Evolution & Development,2018,Wiley,1
Evolution,2020,Wiley,1
European Physical Journal C,2020,Springer Nature,1
European Journal of Soil Science,2019,Wiley,1
European Journal of Plant Pathology,2018,Springer Nature,1
European Journal of Pharmacology,2020,Elsevier,1
European Journal of Personality,2019,SAGE Publications,1
European Journal of Organic Chemistry,2016,Wiley,1
European Journal of Operational Research,2019,Elsevier,1
European Journal of Operational Research,2016,Elsevier,1
Expert Systems,2019,Wiley,1
Expert Opinion on Therapeutic Targets,2020,Taylor & Francis,1
Expert Opinion on Drug Delivery,2023,Taylor & Francis,1
Experiments in Fluids,2019,Springer Nature,1
Experiments in Fluids,2018,Springer Nature,1
Experiments in Fluids,2016,Springer Nature,1
Experimental Thermal and Fluid Science,2022,Elsevier,1
Experimental Neurology,2021,Elsevier,1
Experimental Mechanics,2019,Springer Nature,1
Experimental Gerontology,2020,Elsevier,1
Experimental Cell Research,2017,Elsevier,1
Experimental Brain Research,2017,Springer Nature,1
Experimental Aging Research,2022,Taylor & Francis,1
Exceptionality,2018,Taylor & Francis,1
Evolutionary Ecology,2021,Springer Nature,1
Evolutionary Biology,2020,Springer Nature,1
Energy and Buildings,2022,Elsevier,1
Energy and Buildings,2021,Elsevier,1
Energy and Buildings,2016,Elsevier,1
Energy and AI,2021,Elsevier,1
Energy Technology,2019,Wiley,1
Energy Technology,2017,Wiley,1
Energy Technology,2016,Wiley,1
Energy Systems,2019,Springer Nature,1
Energy Research & Social Science,2019,Elsevier,1
Energy Policy,2022,Elsevier,1
Energy Policy,2017,Elsevier,1
Energy Policy,2016,Elsevier,1
Exploration of Medicine,2023,Open Exploration Publishing,1
Exploration Geophysics,2021,Taylor & Francis,1
Exploration Geophysics,2019,Taylor & Francis,1
Expert Systems with Applications,2022,Elsevier,1
Finite Fields and Their Applications,2022,Elsevier,1
Finite Elements in Analysis and Design,2022,Elsevier,1
Fields Mathematics Education Journal,2018,Springer Nature,1
Field Crops Research,2017,Elsevier,1
Few-Body Systems,2018,Springer Nature,1
Few-Body Systems,2016,Springer Nature,1
Fermentation,2018,MDPI,1
Fermentation,2017,MDPI,1
FEMS Microbiology Letters,2021,Oxford University Press (OUP),1
FEMS Microbiology Letters,2020,Oxford University Press (OUP),1
FEMS Microbiology Ecology,2022,Oxford University Press (OUP),1
FEBS Letters,2022,Wiley,1
F1000Research,2020,F1000Research,1
Extreme Mechanics Letters,2020,Elsevier,1
Engineering Computations,2018,Emerald,1
Engineering Applications of Artificial Intelligence,2023,Elsevier,1
Food Bioscience,2021,Elsevier,1
Food Biophysics,2020,Springer Nature,1
Food Analytical Methods,2018,Springer Nature,1
Food Additives & Contaminants Part A,2017,Taylor & Francis,1
Fluids,2020,MDPI,1
"Flow, Turbulence and Combustion",2022,Springer Nature,1
"Flow, Turbulence and Combustion",2021,Springer Nature,1
"Flow, Turbulence and Combustion",2019,Springer Nature,1
"Flow, Turbulence and Combustion",2017,Springer Nature,1
"Flow, Turbulence and Combustion",2016,Springer Nature,1
Flow Measurement and Instrumentation,2017,Elsevier,1
Fisheries Research,2021,Elsevier,1
Fisheries Research,2019,Elsevier,1
Fisheries Research,2016,Elsevier,1
Fish and Fisheries,2019,Wiley,1
Fire Ecology,2021,Springer Nature,1
Energy Economics,2017,Elsevier,1
Energy Conversion and Management,2019,Elsevier,1
Energy Conversion and Management,2016,Elsevier,1
Energy & Fuels,2022,American Chemical Society (ACS),1
Energy & Fuels,2020,American Chemical Society (ACS),1
Energy & Environmental Science,2023,Royal Society of Chemistry (RSC),1
Energy & Environmental Science,2022,Royal Society of Chemistry (RSC),1
Energy,2019,Elsevier,1
Energy,2018,Elsevier,1
Energy,2017,Elsevier,1
Energy,2016,Elsevier,1
Food Chemistry Advances,2022,Elsevier,1
Food Chemistry,2023,Elsevier,1
Food Chemistry,2022,Elsevier,1
Food Chemistry,2019,Elsevier,1
Food Chemistry,2017,Elsevier,1
Food Science & Nutrition,2023,Wiley,1
Food Science & Nutrition,2020,Wiley,1
Food Reviews International,2021,Taylor & Francis,1
Food Research International,2022,Elsevier,1
Food Research International,2018,Elsevier,1
Food Research International,2016,Elsevier,1
Food Protection Trends,2020,International Association for Food Protection,1
Food Policy,2021,Elsevier,1
Food Packaging and Shelf Life,2017,Elsevier,1
Food Microbiology,2022,Elsevier,1
Food Microbiology,2020,Elsevier,1
Food Hydrocolloids,2019,Elsevier,1
Food Hydrocolloids,2016,Elsevier,1
Food Control,2020,Elsevier,1
Energy Economics,2019,Elsevier,1
Energy Economics,2018,Elsevier,1
Electronic Journal of Statistics,2022,Institute of Mathematical Statistics,1
Electrochimica Acta,2022,Elsevier,1
Electrochimica Acta,2020,Elsevier,1
Electrochimica Acta,2018,Elsevier,1
Electric Power Systems Research,2022,Elsevier,1
Educational Administration Quarterly,2023,SAGE Publications,1
Forensic Science International,2017,Elsevier,1
Forensic Science International,2016,Elsevier,1
Foreign Language Annals,2022,Wiley,1
Foods,2019,MDPI,1
Foods,2018,MDPI,1
Foodborne Pathogens and Disease,2017,Mary Ann Liebert,1
Food and Bioproducts Processing,2018,Elsevier,1
Food and Bioprocess Technology,2023,Springer Nature,1
Food and Bioprocess Technology,2021,Springer Nature,1
Food and Bioprocess Technology,2019,Springer Nature,1
Frontiers in Aging Neuroscience,2020,Frontiers,1
Frontiers in Aging Neuroscience,2019,Frontiers,1
Friction,2017,Springer Nature,1
Freshwater Biology,2021,Wiley,1
Freshwater Biology,2019,Wiley,1
Forests,2020,MDPI,1
Forests,2017,MDPI,1
Forest Ecology and Management,2017,Elsevier,1
Forensic Science International: Digital Investigation,2022,Elsevier,1
Forensic Science International: Digital Investigation,2021,Elsevier,1
Forensic Science International Mind and Law,2021,Elsevier,1
Forensic Science International,2021,Elsevier,1
Empirical Software Engineering,2021,Springer Nature,1
Emerging Infectious Diseases,2021,Centers for Disease Control and Prevention (CDC),1
Emerging Adulthood,2019,SAGE Publications,1
Electronics,2018,MDPI,1
Frontiers in Communication,2021,Frontiers,1
Frontiers in Climate,2022,Frontiers,1
Frontiers in Climate,2021,Frontiers,1
Frontiers in Cellular and Infection Microbiology,2023,Frontiers,1
Frontiers in Cellular and Infection Microbiology,2022,Frontiers,1
Frontiers in Cellular Neuroscience,2023,Frontiers,1
Frontiers in Cellular Neuroscience,2021,Frontiers,1
Frontiers in Cellular Neuroscience,2020,Frontiers,1
Frontiers in Cell and Developmental Biology,2023,Frontiers,1
Frontiers in Bioinformatics,2023,Frontiers,1
Frontiers in Bioengineering and Biotechnology,2021,Frontiers,1
Frontiers in Bioengineering and Biotechnology,2020,Frontiers,1
Frontiers in Big Data,2021,Frontiers,1
Frontiers in Artificial Intelligence,2021,Frontiers,1
Frontiers in Antibiotics,2023,Frontiers,1
Frontiers in Agronomy,2020,Frontiers,1
Ecosystems,2020,Springer Nature,1
Ecosphere,2023,Wiley,1
Ecosphere,2019,Wiley,1
Ecosphere,2018,Wiley,1
Ecosphere,2016,Wiley,1
Economics Letters,2023,Elsevier,1
Economic Theory,2016,Springer Nature,1
Economic Modelling,2018,Elsevier,1
Economic Development Quarterly,2018,SAGE Publications,1
Ecology of Food and Nutrition,2020,Taylor & Francis,1
Frontiers in Education,2022,Frontiers,1
Frontiers in Ecology and the Environment,2021,Wiley,1
Frontiers in Ecology and Evolution,2022,Frontiers,1
Frontiers in Ecology and Evolution,2021,Frontiers,1
Frontiers in Earth Science,2022,Frontiers,1
Frontiers in Communication,2022,Frontiers,1
Ecological Economics,2019,Elsevier,1
Frontiers in Genome Editing,2021,Frontiers,1
Frontiers in Genetics,2022,Frontiers,1
Frontiers in Genetics,2018,Frontiers,1
Frontiers in Genetics,2017,Frontiers,1
Frontiers in Forests and Global Change,2021,Frontiers,1
Frontiers in Food Science and Technology,2022,Frontiers,1
Frontiers in Environmental Science,2023,Frontiers,1
Frontiers in Environmental Science,2022,Frontiers,1
Frontiers in Environmental Science,2021,Frontiers,1
Frontiers in Environmental Science,2020,Frontiers,1
Frontiers in Environmental Science,2018,Frontiers,1
Frontiers in Energy,2018,Springer Nature,1
Ecotoxicology,2019,Springer Nature,1
Ecotoxicology,2018,Springer Nature,1
Ecosystems,2021,Springer Nature,1
Frontiers in Medicine,2021,Frontiers,1
Frontiers in Materials,2020,Frontiers,1
Frontiers in Insect Science,2023,Frontiers,1
Frontiers in Immunology,2022,Frontiers,1
Frontiers in Immunology,2019,Frontiers,1
Frontiers in Immunology,2016,Frontiers,1
Frontiers in Genome Editing,2022,Frontiers,1
Ecology and Evolution,2022,Wiley,1
Ecology and Evolution,2018,Wiley,1
Ecology Letters,2023,Wiley,1
Ecology Letters,2016,Wiley,1
Ecological Processes,2020,Springer Nature,1
Ecological Monographs,2018,Wiley,1
Ecological Monographs,2017,Wiley,1
Ecological Modelling,2018,Elsevier,1
Ecological Economics,2023,Elsevier,1
EcoSal Plus,2021,American Society for Microbiology,1
